Any,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,Sexe,Edat_quinquennal,Nombre
2007,99,No consta,99,No consta,Home,90-94 anys,1
2007,10,Sant Martí,73,la Verneda i la Pau,Home,90-94 anys,14
2007,3,Sants-Montjuïc,12,la Marina del Prat Vermell,Home,95 anys i més,0
2007,5,Sarrià-Sant Gervasi,27,el Putxet i el Farró,Home,95 anys i més,2
2007,7,Horta-Guinardó,40,Montbau,Home,90-94 anys,6
2007,7,Horta-Guinardó,38,la Teixonera,Home,90-94 anys,5
2007,2,Eixample,5,el Fort Pienc,Home,90-94 anys,11
2007,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",Home,90-94 anys,13
2007,1,Ciutat Vella,3,la Barceloneta,Home,90-94 anys,14
2007,1,Ciutat Vella,2,el Barri Gòtic,Home,90-94 anys,8
2007,1,Ciutat Vella,1,el Raval,Home,90-94 anys,18
2007,99,No consta,99,No consta,Home,85-89 anys,1
2007,10,Sant Martí,73,la Verneda i la Pau,Home,85-89 anys,29
2007,10,Sant Martí,72,Sant Martí de Provençals,Home,85-89 anys,30
2007,10,Sant Martí,71,Provençals del Poblenou,Home,85-89 anys,13
2007,10,Sant Martí,70,el Besòs i el Maresme,Home,85-89 anys,19
2007,10,Sant Martí,69,Diagonal Mar i el Front Marítim del Poblenou,Home,85-89 anys,9
2007,10,Sant Martí,68,el Poblenou,Home,85-89 anys,34
2007,10,Sant Martí,67,la Vila Olímpica del Poblenou,Home,85-89 anys,1
2007,10,Sant Martí,66,el Parc i la Llacuna del Poblenou,Home,85-89 anys,13
2007,10,Sant Martí,65,el Clot,Home,85-89 anys,20
2007,10,Sant Martí,64,el Camp de l'Arpa del Clot,Home,85-89 anys,41
2007,9,Sant Andreu,63,Navas,Home,85-89 anys,23
2007,9,Sant Andreu,62,el Congrés i els Indians,Home,85-89 anys,20
2007,9,Sant Andreu,61,la Sagrera,Home,85-89 anys,22
2007,9,Sant Andreu,60,Sant Andreu,Home,85-89 anys,62
2007,9,Sant Andreu,59,el Bon Pastor,Home,85-89 anys,6
2007,9,Sant Andreu,58,Baró de Viver,Home,85-89 anys,2
2007,9,Sant Andreu,57,la Trinitat Vella,Home,85-89 anys,5
2007,8,Nou Barris,56,Vallbona,Home,85-89 anys,0
2007,8,Nou Barris,55,Ciutat Meridiana,Home,85-89 anys,3
2007,8,Nou Barris,54,Torre Baró,Home,85-89 anys,1
2007,8,Nou Barris,53,la Trinitat Nova,Home,85-89 anys,14
2007,2,Eixample,6,la Sagrada Família,Home,90-94 anys,29
2007,2,Eixample,7,la Dreta de l'Eixample,Home,90-94 anys,40
2007,2,Eixample,8,l'Antiga Esquerra de l'Eixample,Home,90-94 anys,26
